> -Z0
29.965279 59.928196
29.965279 59.928471
29.963612 59.928471
29.963612 59.928749
29.962500 59.928749
29.962500 59.929028
29.961390 59.929028
29.961390 59.929306
29.959723 59.929306
29.959723 59.929585
29.958611 59.929585
29.958611 59.929863
29.956945 59.929863
29.956944 59.930138
29.955833 59.930138
29.955833 59.930416
29.954168 59.930416
29.954168 59.930695
29.953054 59.930695
29.953054 59.930973
29.951389 59.930973
29.951389 59.931252
29.950277 59.931252
29.950277 59.931526
29.948610 59.931526
29.948610 59.931805
29.947500 59.931805
29.947500 59.932083
29.945833 59.932083
29.945833 59.932362
29.944723 59.932362
29.944723 59.932640
29.943611 59.932640
29.943611 59.932919
29.941944 59.932919
29.941944 59.933193
29.940836 59.933193
29.940836 59.933472
29.939165 59.933472
29.939165 59.933750
29.938053 59.933750
29.938053 59.934029
29.936388 59.934029
29.936388 59.934307
29.935278 59.934307
29.935278 59.934582
29.933613 59.934582
29.933613 59.934860
29.932501 59.934860
29.932501 59.935139
29.930834 59.935139
29.930834 59.935417
29.929722 59.935417
29.929722 59.935696
29.928055 59.935696
29.928055 59.935974
29.926947 59.935974
29.926947 59.936249
29.925833 59.936249
29.925833 59.936527
29.924168 59.936527
29.924166 59.936806
29.923056 59.936806
29.923056 59.937084
29.921389 59.937084
29.921389 59.937363
29.920279 59.937363
29.920279 59.937637
29.918612 59.937637
29.918612 59.937916
29.917498 59.937916
29.917498 59.938194
29.915833 59.938194
29.915833 59.938473
29.914722 59.938473
29.914722 59.938751
29.913055 59.938751
29.913055 59.939026
29.911943 59.939030
29.911943 59.939304
29.910278 59.939304
29.910278 59.939583
29.909166 59.939583
29.909166 59.939861
29.907499 59.939861
29.907499 59.940140
29.906389 59.940140
29.906389 59.940418
29.905277 59.940418
29.905277 59.940693
29.903608 59.940693
29.903608 59.940971
29.902500 59.940971
29.902500 59.941250
29.900833 59.941250
29.900833 59.941528
29.899723 59.941528
29.899723 59.941807
29.898054 59.941807
29.898054 59.942081
29.896942 59.942085
29.896942 59.942360
29.895277 59.942360
29.895277 59.942638
29.894167 59.942638
29.894167 59.942917
29.892502 59.942917
29.892502 59.943195
29.891390 59.943195
29.891390 59.943474
29.889723 59.943474
29.889723 59.943748
29.888058 59.943748
29.888058 59.944027
29.886389 59.944027
29.886389 59.944305
29.885279 59.944305
29.885279 59.944584
29.884167 59.944584
29.884167 59.944862
29.882500 59.944862
29.882500 59.945137
29.881390 59.945137
29.881390 59.945415
29.879723 59.945415
29.879723 59.945694
29.878056 59.945694
29.878056 59.945972
29.876944 59.945972
29.876944 59.946251
29.875278 59.946251
29.875278 59.946529
29.874168 59.946529
29.874168 59.946804
29.872499 59.946804
29.872499 59.947083
29.871389 59.947083
29.871389 59.947361
29.869722 59.947361
29.869722 59.947639
29.868610 59.947639
29.868610 59.947918
29.866945 59.947918
29.866945 59.948193
29.865278 59.948193
29.865278 59.948471
29.864166 59.948471
29.864166 59.948750
29.862497 59.948750
29.862497 59.949028
29.861387 59.949028
29.861387 59.949306
29.859722 59.949306
29.859722 59.949585
29.858612 59.949585
29.858612 59.949860
29.856943 59.949860
29.856943 59.950138
29.855278 59.950138
29.855278 59.950417
29.854166 59.950417
29.854166 59.950695
29.852501 59.950695
29.852501 59.950974
29.851391 59.950974
29.851391 59.951248
29.849722 59.951248
29.849722 59.951527
29.848057 59.951527
29.848057 59.951805
29.846947 59.951805
29.846947 59.952084
29.845278 59.952084
29.845278 59.952362
29.843611 59.952362
29.843611 59.952641
29.841944 59.952641
29.841944 59.952915
29.840279 59.952915
29.840279 59.953194
29.839167 59.953194
29.839167 59.953472
29.837500 59.953472
29.837500 59.953751
29.835833 59.953751
29.835833 59.954029
29.834723 59.954029
29.834723 59.954304
29.833611 59.954304
29.833611 59.954582
29.833057 59.954582
29.833057 59.954861
29.829721 59.954861
29.829721 59.955139
29.828056 59.955139
29.828056 59.955418
29.826389 59.955418
29.826389 59.955696
29.825277 59.955696
29.825277 59.955971
29.824167 59.955971
29.824167 59.956249
29.823610 59.956249
29.823610 59.956528
29.820833 59.956528
29.820833 59.956806
29.818611 59.956806
29.818611 59.957359
29.818054 59.957359
29.818054 59.957638
29.816942 59.957638
29.816942 59.957359
29.816389 59.957359
29.816389 59.957638
29.815277 59.957638
29.815277 59.957916
29.814167 59.957916
29.814167 59.958195
29.813055 59.958195
29.813055 59.958473
29.811945 59.958473
29.811945 59.958752
29.810833 59.958752
29.810833 59.959026
29.809723 59.959026
29.809723 59.959305
29.808611 59.959305
29.808611 59.959583
29.807501 59.959583
29.807501 59.959862
29.806389 59.959862
29.806389 59.960140
29.805279 59.960140
29.805277 59.960415
29.804167 59.960415
29.804167 59.960693
29.803055 59.960693
29.803055 59.960972
29.801945 59.960972
29.801945 59.961250
29.800833 59.961250
29.800833 59.961529
29.799723 59.961529
29.799723 59.961807
29.798611 59.961807
29.798611 59.962082
29.797501 59.962082
29.797501 59.962360
29.796389 59.962360
29.796389 59.962639
29.794722 59.962639
29.794722 59.962917
29.794168 59.962917
29.794168 59.963196
29.791945 59.963196
29.791945 59.963470
29.790833 59.963470
29.790833 59.963749
29.789167 59.963749
29.789167 59.964027
29.788610 59.964027
29.788610 59.964306
29.788055 59.964306
29.788055 59.964584
29.787500 59.964584
29.787500 59.965137
29.786945 59.965137
29.786945 59.965416
29.785833 59.965416
29.785833 59.965694
29.785278 59.965694
29.785278 59.965973
29.784721 59.965973
29.784721 59.966251
29.784166 59.966251
29.784166 59.966526
29.783056 59.966526
29.783056 59.966805
29.782497 59.966805
29.782497 59.967083
29.781944 59.967083
29.781944 59.967361
29.781389 59.967361
29.781389 59.967640
29.780834 59.967640
29.780834 59.967918
29.780275 59.967918
29.780275 59.968472
29.779722 59.968472
29.779722 59.968750
29.779165 59.968750
29.779165 59.969028
29.778610 59.969028
29.778610 59.969307
29.778053 59.969307
29.778053 59.969860
29.777500 59.969860
29.777500 59.970417
29.776943 59.970417
29.776943 59.970695
29.776388 59.970695
29.776388 59.970974
29.775833 59.970974
29.775833 59.971249
29.775278 59.971249
29.775278 59.972084
29.774721 59.972084
29.774721 59.972363
29.774166 59.972363
29.774166 59.972637
29.773056 59.972637
29.773056 59.972916
29.771944 59.972916
29.771944 59.973194
29.770834 59.973194
29.770834 59.973473
29.770279 59.973473
29.770279 59.974030
29.769722 59.974030
29.769722 59.974304
29.769169 59.974304
29.769169 59.974583
29.768057 59.974583
29.768057 59.974861
29.767500 59.974861
29.767500 59.975140
29.766947 59.975140
29.766947 59.975418
29.766390 59.975418
29.766388 59.975971
29.765833 59.975971
29.765833 59.976250
29.765278 59.976250
29.765278 59.976528
29.764723 59.976528
29.764723 59.976807
29.764166 59.976807
29.764166 59.977085
29.763611 59.977085
29.763611 59.977360
29.762501 59.977360
29.762501 59.977638
29.761389 59.977638
29.761389 59.977917
29.760834 59.977917
29.760834 59.978195
29.759722 59.978195
29.759722 59.978474
29.758612 59.978474
29.758612 59.978748
29.757500 59.978748
29.757500 59.979027
29.756945 59.979027
29.756945 59.979305
29.756390 59.979305
29.756390 59.979584
29.755833 59.979584
29.755833 59.979862
29.755280 59.979862
29.755280 59.980141
29.754723 59.980141
29.754723 59.980415
29.754168 59.980415
29.754168 59.980694
29.753611 59.980694
29.753611 59.980972
29.751389 59.980972
29.751389 59.981251
29.750278 59.981251
29.750278 59.981529
29.749166 59.981529
29.749166 59.981804
29.747499 59.981804
29.747499 59.982082
29.741386 59.982082
29.741386 59.981804
29.739164 59.981804
29.739164 59.982082
29.724167 59.982082
29.724167 59.981529
29.717501 59.981529
29.717501 59.982918
29.715279 59.982918
29.715279 59.983196
29.709723 59.983196
29.709723 59.982918
29.708611 59.982918
29.708611 59.983196
29.707500 59.983196
29.707500 59.983471
29.705833 59.983471
29.705833 59.983749
29.704166 59.983749
29.704166 59.984028
29.703611 59.984028
29.703611 59.984306
29.701944 59.984306
29.701944 59.984585
29.700834 59.984585
29.700834 59.984859
29.699722 59.984859
29.699722 59.985138
29.695278 59.985138
29.695278 59.985416
29.694166 59.985416
29.694166 59.985695
29.693056 59.985695
29.693056 59.985973
29.691389 59.985973
29.691389 59.986252
29.689722 59.986252
29.689722 59.986526
29.689169 59.986526
29.689169 59.986805
29.686386 59.986805
29.686386 59.987083
29.685278 59.987083
29.685278 59.987362
29.683611 59.987362
29.683611 59.987640
29.681944 59.987640
29.681944 59.987915
29.680279 59.987915
29.680277 59.988194
29.678055 59.988194
29.678055 59.988472
29.675833 59.988472
29.675833 59.988750
29.675280 59.988750
29.675280 59.989029
29.674723 59.989029
29.674723 59.989307
29.673058 59.989307
29.673058 59.989582
29.670279 59.989582
29.670279 59.989861
29.668056 59.989861
29.668056 59.990139
29.665833 59.990139
29.665833 59.990417
29.662500 59.990417
29.662500 59.990696
29.660833 59.990696
29.660833 59.990971
29.656942 59.990971
29.656942 59.991249
29.655277 59.991249
29.655277 59.991528
29.653610 59.991528
29.653610 59.991806
29.651388 59.991806
29.651388 59.992085
29.649723 59.992085
29.649723 59.992363
29.645275 59.992363
29.645275 59.992638
29.644167 59.992638
29.644167 59.992916
29.642500 59.992916
29.642500 59.993195
29.640278 59.993195
29.640278 59.993473
29.638611 59.993473
29.638611 59.993752
29.637501 59.993752
29.637501 59.994026
29.635834 59.994026
29.635834 59.994305
29.634169 59.994305
29.634169 59.994583
29.632500 59.994583
29.632500 59.994862
29.631390 59.994862
29.631390 59.995140
29.630833 59.995140
29.630833 59.995419
29.628611 59.995419
29.628611 59.995693
29.626944 59.995693
29.626944 59.995972
29.625834 59.995972
29.625834 59.996250
29.622499 59.996250
29.622499 59.996529
29.620832 59.996529
29.620832 59.996807
29.617500 59.996807
29.617500 59.997082
29.616388 59.997082
29.616388 59.997360
